dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
pol,Random,158,0.9009174311926605,0.010616257347227783,10
pol,Random,159,0.9012149764443343,0.011163884018592704,10
pol,Random,160,0.9008182494421026,0.011201636066516203,10
pol,Random,161,0.9007190676915448,0.010499142947133985,10
pol,Random,162,0.9019588395735185,0.009869982372473579,10
pol,Random,163,0.9016612943218447,0.010541998360132095,10
pol,Random,164,0.9015869080089264,0.009999426123231056,10
pol,Random,165,0.9019092486982396,0.009905217863549006,10
pol,Random,166,0.9021572030746343,0.010433220373823906,10
pol,Random,167,0.9024795437639475,0.009964249539810403,10
pol,Random,168,0.9029506570790975,0.010139013156240809,10
pol,Random,169,0.903396974956608,0.010060553395196589,10
pol,Random,170,0.9039424745846765,0.010093093476589994,10
pol,Random,171,0.9037689065212001,0.009777671069131294,10
pol,Random,172,0.9043392015869081,0.009390166057037937,10
pol,Random,173,0.9046119514009423,0.009151610534266072,10
pol,Random,174,0.9045127696503844,0.009047560394353404,10
pol,Random,175,0.9052814282172081,0.009786435319028489,10
pol,Random,176,0.9050086784031738,0.009572915889323871,10
pol,Random,177,0.9052566327795686,0.008958785263492256,10
pol,Random,178,0.9065707909744607,0.008624948031741615,10
pol,Random,179,0.9069923134143318,0.008580200763260092,10
pol,Random,180,0.9069923134143318,0.008770756908062406,10
pol,Random,181,0.9068931316637739,0.008853549268747792,10
pol,Random,182,0.9080585172328292,0.008879398202833774,10
pol,Random,183,0.908108108108108,0.009275541321466721,10
pol,Random,184,0.9082320852963054,0.008958022709844105,10
pol,Random,185,0.908108108108108,0.009432555866363672,10
pol,Random,186,0.9084304487974213,0.00921409939509331,10
pol,Random,187,0.9088519712372923,0.008905824127110386,10
pol,Random,188,0.9093974708653608,0.009087301436820934,10
pol,Random,189,0.909670220679395,0.00818044875042236,10
pol,Random,190,0.9106372427473344,0.007622059991405816,10
pol,Random,191,0.9110835606248451,0.008389998394949213,10
pol,Random,192,0.9109595834366477,0.008347756421958988,10
pol,Random,193,0.9107364244978925,0.008746227201329504,10
pol,Random,194,0.9107612199355319,0.009072442476522525,10
pol,Random,195,0.9109347879990082,0.008887088258665883,10
pol,Random,196,0.9108108108108108,0.008702417586842976,10
pol,Random,197,0.9109099925613687,0.00847493888195476,10
pol,Random,198,0.9110835606248451,0.008376960823038604,10
pol,Random,199,0.9108356062484504,0.008363902928310196,10
pol,Random,200,0.9114059013141581,0.008487825957770093,10
pol,Random,201,0.9118026283163898,0.00868119713053183,10
pol,Random,202,0.9114554921894371,0.008716849336646872,10
pol,Random,203,0.9118274237540293,0.008393254623588045,10
pol,Random,204,0.9116290602529136,0.00816552911000175,10
pol,Random,205,0.9118274237540293,0.008502421088112583,10
pol,Random,206,0.9121745598809818,0.007967017588229678,10
pol,Random,207,0.912025787255145,0.008395370494940529,10
pol,Random,208,0.9112571286883213,0.008876050949088023,10
pol,Random,209,0.9122489461939004,0.007096916492552015,10
pol,Random,210,0.9123729233820977,0.006746303497841341,10
pol,Random,211,0.9125712868832135,0.00702508228076347,10
pol,Random,212,0.9133399454500373,0.007188539059917783,10
pol,Random,213,0.913067195636003,0.007397374823117917,10
pol,Random,214,0.9131663773865609,0.006758039375548822,10
pol,Random,215,0.9137366724522687,0.006719162022169642,10
pol,Random,216,0.9137614678899084,0.006842422706413055,10
pol,Random,217,0.9130424001983635,0.006027382779594037,10
pol,Random,218,0.9137366724522687,0.007244578347365349,10
pol,Random,219,0.9138110587651873,0.007084150987645367,10
pol,Random,220,0.9142573766426978,0.007435691992590178,10
pol,Uncertainty Sampling (US),20,0.734763203570543,0.04327845072794263,30
pol,Uncertainty Sampling (US),21,0.7397718819737168,0.04717877318353788,30
pol,Uncertainty Sampling (US),22,0.7484502851475329,0.04653361289591479,30
pol,Uncertainty Sampling (US),23,0.7513513513513513,0.04551732017947436,30
pol,Uncertainty Sampling (US),24,0.758393255640962,0.05273313791270218,30
pol,Uncertainty Sampling (US),25,0.7665013637490702,0.04920005330123952,30
pol,Uncertainty Sampling (US),26,0.7693032482023308,0.04718078854099241,30
pol,Uncertainty Sampling (US),27,0.7772129928093231,0.05086459660595482,30
pol,Uncertainty Sampling (US),28,0.7815769898338706,0.04520699056208616,30
pol,Uncertainty Sampling (US),29,0.7834118522191917,0.04571731671627535,30
pol,Uncertainty Sampling (US),30,0.7859905777336971,0.045033186490424405,30
pol,Uncertainty Sampling (US),31,0.7965038432928342,0.04737945502860735,30
pol,Uncertainty Sampling (US),32,0.8080833126704686,0.04515892663362599,30
pol,Uncertainty Sampling (US),33,0.8121001735680635,0.04673458145386087,30
pol,Uncertainty Sampling (US),34,0.8120753781304241,0.04665308051697077,30
pol,Uncertainty Sampling (US),35,0.8185965782296057,0.03871855081106514,30
pol,Uncertainty Sampling (US),36,0.8235308703198612,0.03985722954092048,30
pol,Uncertainty Sampling (US),37,0.8282172080337219,0.04003154103467387,30
pol,Uncertainty Sampling (US),38,0.8324572278700718,0.03776117469088368,30
pol,Uncertainty Sampling (US),39,0.8366724522687825,0.03815876764283393,30
pol,Uncertainty Sampling (US),40,0.8373915199603273,0.037879522355963806,30
pol,Uncertainty Sampling (US),41,0.8407884949169353,0.040602552304888885,30
pol,Uncertainty Sampling (US),42,0.846739399950409,0.038899355139338405,30
pol,Uncertainty Sampling (US),43,0.8481527398958592,0.035283300592888124,30
pol,Uncertainty Sampling (US),44,0.8486238532110092,0.037094570813984123,30
pol,Uncertainty Sampling (US),45,0.8538308951152989,0.032531996721791814,30
pol,Uncertainty Sampling (US),46,0.8529382593602777,0.03837258033265123,30
pol,Uncertainty Sampling (US),47,0.8572030746342673,0.03398671145196774,30
pol,Uncertainty Sampling (US),48,0.8585668237044384,0.03495223342700385,30
pol,Uncertainty Sampling (US),49,0.8570543020084305,0.03450151646771005,30
pol,Uncertainty Sampling (US),50,0.8619637986610463,0.02946369188312853,30
pol,Uncertainty Sampling (US),51,0.8625588891643937,0.026706785686400655,30
pol,Uncertainty Sampling (US),52,0.8650384329283411,0.0265575266955631,30
pol,Uncertainty Sampling (US),53,0.8703446565831887,0.020376041674572996,30
pol,Uncertainty Sampling (US),54,0.8708157698983388,0.02139603471837801,30
pol,Uncertainty Sampling (US),55,0.872923382097694,0.02051689106392887,30
pol,Uncertainty Sampling (US),56,0.8737416315397968,0.019905954473837462,30
pol,Uncertainty Sampling (US),57,0.8748078353582941,0.02076162971684661,30
pol,Uncertainty Sampling (US),58,0.8765187205554178,0.021750111787771014,30
pol,Uncertainty Sampling (US),59,0.8770642201834863,0.022903754474170535,30
pol,Uncertainty Sampling (US),60,0.8781800148772626,0.01957579915259862,30
pol,Uncertainty Sampling (US),61,0.8772129928093231,0.021898679493864075,30
pol,Uncertainty Sampling (US),62,0.87924621869576,0.021832418163702252,30
pol,Uncertainty Sampling (US),63,0.8831391024051575,0.01722871044707203,30
pol,Uncertainty Sampling (US),64,0.8843044879742127,0.014696699178776168,30
pol,Uncertainty Sampling (US),65,0.8859657822960576,0.012647156811759477,30
pol,Uncertainty Sampling (US),66,0.887924621869576,0.012710638353923302,30
pol,Uncertainty Sampling (US),67,0.8904041656335234,0.00953010114938622,30
pol,Uncertainty Sampling (US),68,0.8922390280188445,0.0070849689348554375,30
pol,Uncertainty Sampling (US),69,0.8946937763451525,0.004032016740342007,30
pol,Uncertainty Sampling (US),70,0.8942226630300024,0.003648007832212361,30
pol,Uncertainty Sampling (US),71,0.8958343664765683,0.0047375420993094625,30
pol,Uncertainty Sampling (US),72,0.8973716836102157,0.005307394177245362,30
pol,Uncertainty Sampling (US),73,0.89858666005455,0.005239310347709213,30
pol,Uncertainty Sampling (US),74,0.8992561368708158,0.004687063741864887,30
pol,Uncertainty Sampling (US),75,0.9006694768162657,0.005153881750183335,30
pol,Uncertainty Sampling (US),76,0.9012645673196132,0.0054134083838215715,30
pol,Uncertainty Sampling (US),77,0.9016612943218447,0.004946074224193599,30
pol,Uncertainty Sampling (US),78,0.9013141581948922,0.004771719648040241,30
pol,Uncertainty Sampling (US),79,0.9017852715100421,0.004682176149807385,30
pol,Uncertainty Sampling (US),80,0.9027522935779816,0.004594902329736806,30
pol,Uncertainty Sampling (US),81,0.9029506570790975,0.004864388177134106,30
pol,Uncertainty Sampling (US),82,0.9029754525167369,0.004976648370656541,30
pol,Uncertainty Sampling (US),83,0.9049590875278949,0.006150671564619383,30
pol,Uncertainty Sampling (US),84,0.9051822464666501,0.006383229102850165,30
pol,Uncertainty Sampling (US),85,0.9050086784031739,0.0052580320755728945,30
pol,Uncertainty Sampling (US),86,0.9053558145301265,0.006030582727504874,30
pol,Uncertainty Sampling (US),87,0.9072154723530871,0.006196772821864984,30
