dataset,strategy_code,strategy,seed,trial,n_labeled,accuracy,line_type
ionosphere,uniform,Random,1,1,76,0.9290780141843972,update
ionosphere,uniform,Random,1,1,77,0.9219858156028369,update
ionosphere,uniform,Random,1,1,78,0.9219858156028369,update
ionosphere,uniform,Random,1,1,79,0.9219858156028369,update
ionosphere,uniform,Random,1,1,80,0.9219858156028369,update
ionosphere,uniform,Random,1,1,81,0.9219858156028369,update
ionosphere,uniform,Random,1,1,82,0.9290780141843972,update
ionosphere,uniform,Random,1,1,83,0.9290780141843972,update
ionosphere,uniform,Random,1,1,84,0.9219858156028369,update
ionosphere,uniform,Random,1,1,85,0.9219858156028369,update
ionosphere,uniform,Random,1,1,86,0.9219858156028369,update
ionosphere,uniform,Random,1,1,87,0.9219858156028369,update
ionosphere,uniform,Random,1,1,88,0.9361702127659575,update
ionosphere,uniform,Random,1,1,89,0.9361702127659575,update
ionosphere,uniform,Random,1,1,90,0.9432624113475178,update
ionosphere,uniform,Random,1,1,91,0.9432624113475178,update
ionosphere,uniform,Random,1,1,92,0.9432624113475178,update
ionosphere,uniform,Random,1,1,93,0.9432624113475178,update
ionosphere,uniform,Random,1,1,94,0.9432624113475178,update
ionosphere,uniform,Random,1,1,95,0.9432624113475178,update
ionosphere,uniform,Random,1,1,96,0.950354609929078,update
ionosphere,uniform,Random,1,1,97,0.950354609929078,update
ionosphere,uniform,Random,1,1,98,0.950354609929078,update
ionosphere,uniform,Random,1,1,99,0.950354609929078,update
ionosphere,uniform,Random,1,1,100,0.950354609929078,update
ionosphere,uniform,Random,1,1,101,0.950354609929078,update
ionosphere,uniform,Random,1,1,102,0.950354609929078,update
ionosphere,uniform,Random,1,1,103,0.950354609929078,update
ionosphere,uniform,Random,1,1,104,0.950354609929078,update
ionosphere,uniform,Random,1,1,105,0.950354609929078,update
ionosphere,uniform,Random,1,1,106,0.950354609929078,update
ionosphere,uniform,Random,1,1,107,0.950354609929078,update
ionosphere,uniform,Random,1,1,108,0.950354609929078,update
ionosphere,uniform,Random,1,1,109,0.950354609929078,update
ionosphere,uniform,Random,1,1,110,0.950354609929078,update
ionosphere,uniform,Random,1,1,111,0.950354609929078,update
ionosphere,uniform,Random,1,1,112,0.950354609929078,update
ionosphere,uniform,Random,1,1,113,0.950354609929078,update
ionosphere,uniform,Random,1,1,114,0.950354609929078,update
ionosphere,uniform,Random,1,1,115,0.950354609929078,update
ionosphere,uniform,Random,1,1,116,0.950354609929078,update
ionosphere,uniform,Random,1,1,117,0.950354609929078,update
ionosphere,uniform,Random,1,1,118,0.950354609929078,update
ionosphere,uniform,Random,1,1,119,0.950354609929078,update
ionosphere,uniform,Random,1,1,120,0.950354609929078,update
ionosphere,uniform,Random,1,1,121,0.950354609929078,update
ionosphere,uniform,Random,1,1,122,0.950354609929078,update
ionosphere,uniform,Random,1,1,123,0.950354609929078,update
ionosphere,uniform,Random,1,1,124,0.950354609929078,update
ionosphere,uniform,Random,1,1,125,0.950354609929078,update
ionosphere,uniform,Random,1,1,126,0.950354609929078,update
ionosphere,uniform,Random,1,1,127,0.950354609929078,update
ionosphere,uniform,Random,1,1,128,0.9290780141843972,update
ionosphere,uniform,Random,1,1,129,0.9361702127659575,update
